user_id,timestamp,group,landing_page,converted
688937,42:41.4,treatment,new_page,0
884319,43:36.9,treatment,new_page,0
692455,47:12.6,control,old_page,0
801251,47:27.9,control,old_page,1
637815,21:48.9,control,old_page,0
821916,24:40.2,treatment,new_page,0
817695,27:16.1,control,old_page,0
853373,55:47.6,treatment,new_page,0
666992,12:44.9,control,old_page,0
761154,35:24.3,treatment,new_page,1
908149,36:49.1,control,old_page,0
653229,39:24.2,treatment,new_page,0
848412,44:06.7,treatment,new_page,1
805240,47:45.7,control,old_page,0
834185,48:46.8,treatment,new_page,0
671509,51:46.2,control,old_page,0
667989,07:24.3,treatment,new_page,0
632131,17:52.1,treatment,new_page,0
800626,24:22.2,treatment,new_page,0
764268,41:00.0,treatment,new_page,0
919008,42:54.9,treatment,new_page,0
776339,46:22.1,treatment,new_page,0
693199,53:51.6,treatment,new_page,0
938345,58:14.2,treatment,new_page,1
733230,01:41.6,treatment,new_page,0
930977,04:25.2,treatment,new_page,0
672815,06:22.3,control,old_page,0
674856,14:51.8,treatment,new_page,0
876732,19:31.5,control,old_page,0
673153,22:42.4,control,old_page,1
831672,23:32.2,treatment,new_page,1
922442,26:56.4,control,old_page,0
730577,32:29.2,control,old_page,0
890611,40:39.6,control,old_page,0
686162,51:27.8,treatment,new_page,0
718751,57:35.4,treatment,new_page,0
862517,03:26.4,control,old_page,0
736106,05:05.7,control,old_page,0
647089,11:02.3,treatment,new_page,1
854774,21:20.9,control,old_page,1
737590,22:13.8,treatment,new_page,1
675405,36:16.5,control,old_page,0
869707,36:28.2,treatment,old_page,0
934227,30:11.6,control,old_page,1
784122,30:52.3,control,old_page,1
679483,37:09.5,control,old_page,0
743518,38:54.6,control,old_page,0
801924,39:58.1,control,old_page,0
694286,42:06.7,control,old_page,0
767880,53:18.4,control,old_page,0
867569,58:54.8,control,old_page,0
907424,59:48.7,treatment,new_page,0
648450,00:43.8,control,old_page,0
707795,02:49.5,treatment,new_page,1
878722,13:38.9,treatment,new_page,0
878920,48:30.7,control,old_page,0
856396,05:20.3,treatment,new_page,0
906951,07:09.0,control,old_page,0
902369,13:38.6,treatment,new_page,0
870163,33:49.3,treatment,new_page,0
887201,40:35.0,control,old_page,0
761516,10:09.0,treatment,new_page,0
923289,18:51.5,control,old_page,0
777392,26:34.6,control,old_page,0
923958,27:30.4,control,old_page,0
762432,32:40.0,treatment,new_page,0
845019,45:36.7,control,old_page,0
745488,13:25.2,control,old_page,0
752913,28:55.5,treatment,new_page,0
733279,31:08.1,control,old_page,0
931269,31:46.9,treatment,new_page,1
844125,50:57.8,treatment,new_page,0
675100,56:48.9,treatment,new_page,0
701840,58:04.5,control,old_page,0
700558,00:41.0,treatment,new_page,0
873945,09:08.6,control,old_page,1
839955,19:01.5,treatment,new_page,0
840431,43:18.8,control,old_page,0
843552,48:11.4,treatment,new_page,0
905326,51:04.3,control,old_page,0
835029,56:51.8,treatment,new_page,0
898014,13:39.9,control,old_page,0
862907,55:19.9,control,old_page,0
694395,55:20.8,treatment,new_page,0
632906,58:19.2,control,old_page,1
823893,06:49.5,treatment,new_page,1
735922,35:02.1,treatment,new_page,0
888993,36:52.5,control,old_page,0
807657,42:43.4,treatment,new_page,0
810229,05:24.8,treatment,new_page,0
723184,13:09.5,control,old_page,0
789511,24:29.1,control,old_page,0
822743,26:58.0,treatment,new_page,0
771653,36:10.1,treatment,new_page,0
834606,48:19.3,control,old_page,0
940842,52:32.2,control,old_page,0
694461,55:52.2,treatment,new_page,0
637965,03:16.7,treatment,new_page,0
853354,31:56.1,treatment,new_page,0
844879,32:45.4,treatment,new_page,0
821966,35:14.6,treatment,new_page,0
883673,37:27.4,treatment,new_page,0
692753,58:18.1,treatment,new_page,0
840823,58:29.8,control,old_page,0
727724,59:27.0,control,old_page,0
652015,59:59.9,treatment,new_page,1
723086,03:20.0,control,old_page,1
668246,04:02.3,treatment,new_page,1
811542,28:55.7,control,old_page,1
781123,35:06.2,treatment,new_page,0
777437,41:02.4,treatment,new_page,1
654421,41:11.8,treatment,new_page,0
886348,42:42.1,treatment,new_page,0
926628,48:05.9,treatment,new_page,1
664200,57:11.7,treatment,new_page,0
694437,05:36.6,control,old_page,0
798569,17:14.0,control,old_page,0
665829,17:50.3,treatment,new_page,0
890197,23:16.9,treatment,new_page,0
909224,26:36.8,control,old_page,0
696228,33:35.3,treatment,new_page,0
884279,33:44.8,control,old_page,0
771846,36:30.9,control,old_page,0
883510,38:45.6,control,old_page,1
840560,50:46.3,treatment,new_page,0
871237,52:00.9,control,old_page,0
861082,15:36.9,treatment,new_page,0
829618,27:23.0,control,old_page,0
803976,27:33.6,control,old_page,0
644401,28:07.3,control,old_page,0
839171,30:29.6,treatment,new_page,0
671767,31:18.6,treatment,new_page,0
775039,37:08.4,treatment,new_page,0
879050,38:14.0,treatment,new_page,0
931986,44:25.6,control,old_page,0
818786,54:15.7,treatment,new_page,0
687208,07:32.8,control,old_page,0
714733,22:37.9,control,old_page,0
655435,23:55.1,control,old_page,0
928113,30:23.6,control,old_page,0
857368,38:48.6,treatment,new_page,0
710540,15:59.5,control,old_page,0
690622,18:35.9,treatment,new_page,0
767989,26:05.4,control,old_page,0
907159,33:02.3,control,old_page,0
771469,42:51.1,control,old_page,0
881660,10:08.3,control,old_page,0
630341,17:31.7,control,old_page,0
937296,27:59.1,treatment,new_page,0
694919,28:07.1,control,old_page,0
687218,46:29.1,treatment,new_page,0
740367,34:36.8,control,old_page,1
778140,50:15.4,treatment,new_page,0
633763,14:21.9,treatment,new_page,0
710401,26:34.9,control,old_page,1
643642,30:04.3,control,old_page,0
764128,30:41.8,treatment,new_page,0
865250,37:58.3,control,old_page,0
810013,43:01.2,treatment,new_page,0
901344,51:48.0,control,old_page,0
829119,57:50.2,control,old_page,0
739414,25:55.1,treatment,new_page,0
673583,42:32.8,control,old_page,1
714570,17:12.2,control,old_page,0
780478,20:13.9,control,old_page,1
819473,37:37.2,treatment,new_page,0
678214,14:28.2,treatment,new_page,0
657025,15:47.3,treatment,new_page,0
942833,32:11.1,treatment,new_page,0
709793,42:23.4,treatment,new_page,0
730854,43:32.4,control,old_page,0
936873,56:47.7,control,old_page,0
848240,21:39.8,control,old_page,0
909855,26:31.5,control,old_page,0
649788,28:13.1,control,old_page,0
679162,33:44.4,treatment,new_page,0
897131,38:14.2,control,old_page,0
863349,39:14.5,control,old_page,0
943295,44:59.7,control,old_page,0
879814,54:44.3,treatment,new_page,0
929820,58:58.6,treatment,new_page,0
790901,02:24.7,control,old_page,0
728086,07:00.8,treatment,new_page,0
703192,31:53.0,treatment,new_page,1
668317,44:35.0,treatment,new_page,0
669174,48:53.5,control,old_page,0
873513,49:08.9,treatment,new_page,0
883293,49:51.4,treatment,new_page,0
837608,37:06.0,control,old_page,0
803191,41:06.4,control,old_page,0
864223,45:03.6,treatment,new_page,0
646672,48:26.9,treatment,new_page,0
792213,49:05.5,control,old_page,0
885007,52:29.8,control,old_page,0
683911,58:55.9,treatment,new_page,0
944269,00:19.0,treatment,new_page,0
876182,20:11.4,control,old_page,0
663600,25:07.8,treatment,new_page,0
929291,30:08.7,treatment,new_page,0
884370,31:32.0,treatment,new_page,0
778778,34:48.8,control,old_page,0
768641,43:13.3,control,old_page,0
915664,43:50.9,treatment,new_page,0
919139,00:10.0,treatment,new_page,1
817936,00:34.4,treatment,new_page,0
700736,06:17.0,treatment,new_page,0
690761,07:02.3,treatment,new_page,0
645635,15:54.1,treatment,new_page,0
860734,46:04.6,treatment,new_page,0
939111,48:07.9,treatment,new_page,0
896594,56:24.4,treatment,new_page,0
881752,02:13.3,control,old_page,0
847033,11:45.1,treatment,new_page,0
817729,49:17.2,treatment,new_page,0
634388,00:22.1,control,old_page,1
818343,14:26.6,control,old_page,0
730687,18:31.7,control,old_page,0
884445,30:34.3,control,old_page,1
831842,32:47.9,treatment,new_page,0
861934,42:45.7,control,old_page,1
780678,28:09.0,control,old_page,0
889683,28:18.5,treatment,new_page,0
725536,36:38.0,control,old_page,0
705234,42:53.7,control,old_page,0
792179,46:51.8,treatment,new_page,0
874221,52:07.2,treatment,new_page,0
649801,56:17.2,control,old_page,0
678147,58:54.9,treatment,new_page,0
861731,05:59.3,control,old_page,0
727739,07:55.9,control,old_page,0
819011,13:29.8,treatment,new_page,1
674041,15:01.7,control,old_page,0
834658,18:22.7,control,old_page,0
764145,18:25.2,treatment,new_page,0
638797,36:59.5,control,old_page,1
912425,49:47.0,control,old_page,0
770453,15:37.6,treatment,new_page,0
656775,18:16.1,control,old_page,0
763879,25:08.8,control,old_page,0
747868,40:27.0,control,old_page,0
925707,44:25.9,treatment,new_page,0
945913,47:27.4,control,old_page,0
826384,57:48.8,control,old_page,0
819587,11:23.3,treatment,new_page,0
838389,28:01.4,treatment,new_page,0
637301,30:34.0,treatment,new_page,0
927095,36:49.9,control,old_page,0
719035,42:44.3,treatment,new_page,0
820951,42:54.8,treatment,old_page,0
872896,51:01.1,control,old_page,0
784808,52:43.1,control,old_page,1
853581,25:32.0,control,old_page,0
894540,38:35.8,treatment,new_page,0
833368,43:48.5,control,old_page,0
889635,03:57.6,control,old_page,1
678446,26:27.6,control,old_page,0
690170,28:15.2,treatment,new_page,1
861396,52:37.4,control,old_page,1
682689,59:44.0,control,old_page,0
773226,07:48.9,control,old_page,0
764766,07:48.9,control,old_page,0
